SGGCD,SGG_NM,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL2
43760,괴산군,방문자유입,196
43760,괴산군,숙박방문자 비율,198
43760,괴산군,체류시간,164
43760,괴산군,목적지 검색량,203
43760,괴산군,관광소비,230
43800,단양군,방문자유입,207
43800,단양군,숙박방문자 비율,181
43800,단양군,체류시간,192
43800,단양군,목적지 검색량,118
43800,단양군,관광소비,194
43720,보은군,방문자유입,227
43720,보은군,숙박방문자 비율,230
43720,보은군,체류시간,185
43720,보은군,목적지 검색량,214
43720,보은군,관광소비,214
43740,영동군,방문자유입,224
43740,영동군,숙박방문자 비율,218
43740,영동군,체류시간,45
43740,영동군,목적지 검색량,236
43740,영동군,관광소비,238
43730,옥천군,방문자유입,185
43730,옥천군,숙박방문자 비율,214
43730,옥천군,체류시간,221
43730,옥천군,목적지 검색량,222
43730,옥천군,관광소비,215
43770,음성군,방문자유입,155
43770,음성군,숙박방문자 비율,155
43770,음성군,체류시간,64
43770,음성군,목적지 검색량,161
43770,음성군,관광소비,146
43150,제천시,방문자유입,168
43150,제천시,숙박방문자 비율,114
43150,제천시,체류시간,30
43150,제천시,목적지 검색량,104
43150,제천시,관광소비,151
43745,증평군,방문자유입,231
43745,증평군,숙박방문자 비율,239
43745,증평군,체류시간,108
43745,증평군,목적지 검색량,221
43745,증평군,관광소비,210
43750,진천군,방문자유입,174
43750,진천군,숙박방문자 비율,194
43750,진천군,체류시간,79
43750,진천군,목적지 검색량,154
43750,진천군,관광소비,161
43130,충주시,방문자유입,134
43130,충주시,숙박방문자 비율,78
43130,충주시,체류시간,22
43130,충주시,목적지 검색량,72
43130,충주시,관광소비,97
44250,계룡시,방문자유입,237
44250,계룡시,숙박방문자 비율,241
44250,계룡시,체류시간,78
44250,계룡시,목적지 검색량,234
44250,계룡시,관광소비,219
44150,공주시,방문자유입,122
44150,공주시,숙박방문자 비율,115
44150,공주시,체류시간,213
44150,공주시,목적지 검색량,92
44150,공주시,관광소비,147
44710,금산군,방문자유입,187
44710,금산군,숙박방문자 비율,210
44710,금산군,체류시간,171
44710,금산군,목적지 검색량,219
44710,금산군,관광소비,211
44230,논산시,방문자유입,163
44230,논산시,숙박방문자 비율,164
44230,논산시,체류시간,100
44230,논산시,목적지 검색량,156
44230,논산시,관광소비,175
44270,당진시,방문자유입,142
44270,당진시,숙박방문자 비율,116
44270,당진시,체류시간,65
44270,당진시,목적지 검색량,84
44270,당진시,관광소비,135
44180,보령시,방문자유입,154
44180,보령시,숙박방문자 비율,53
44180,보령시,체류시간,41
44180,보령시,목적지 검색량,78
44180,보령시,관광소비,155
44760,부여군,방문자유입,183
44760,부여군,숙박방문자 비율,176
44760,부여군,체류시간,99
44760,부여군,목적지 검색량,158
44760,부여군,관광소비,164
44210,서산시,방문자유입,149
44210,서산시,숙박방문자 비율,105
44210,서산시,체류시간,26
44210,서산시,목적지 검색량,100
44210,서산시,관광소비,144
44770,서천군,방문자유입,194
44770,서천군,숙박방문자 비율,190
44770,서천군,체류시간,163
44770,서천군,목적지 검색량,172
44770,서천군,관광소비,216
44200,아산시,방문자유입,89
44200,아산시,숙박방문자 비율,73
44200,아산시,체류시간,32
44200,아산시,목적지 검색량,43
44200,아산시,관광소비,93
44810,예산군,방문자유입,165
44810,예산군,숙박방문자 비율,154
44810,예산군,체류시간,137
44810,예산군,목적지 검색량,133
44810,예산군,관광소비,181
44790,청양군,방문자유입,240
44790,청양군,숙박방문자 비율,232
44790,청양군,체류시간,66
44790,청양군,목적지 검색량,241
44790,청양군,관광소비,248
44825,태안군,방문자유입,153
44825,태안군,숙박방문자 비율,31
44825,태안군,체류시간,42
44825,태안군,목적지 검색량,48
44825,태안군,관광소비,162
44800,홍성군,방문자유입,177
44800,홍성군,숙박방문자 비율,177
44800,홍성군,체류시간,72
44800,홍성군,목적지 검색량,182
44800,홍성군,관광소비,178
51150,강릉시,방문자유입,86
51150,강릉시,숙박방문자 비율,6
51150,강릉시,체류시간,16
51150,강릉시,목적지 검색량,7
51150,강릉시,관광소비,61
47130,경주시,방문자유입,58
47130,경주시,숙박방문자 비율,7
47130,경주시,체류시간,97
47130,경주시,목적지 검색량,10
47130,경주시,관광소비,56
48250,김해시,방문자유입,63
48250,김해시,숙박방문자 비율,48
48250,김해시,체류시간,70
48250,김해시,목적지 검색량,53
48250,김해시,관광소비,60
