SGGCD,SGG_NM,관광소비,목적지 검색량,방문자유입,숙박방문자 비율,체류시간
43130,충주시,97,72,134,78,22
43150,제천시,151,104,168,114,30
43720,보은군,214,214,227,230,185
43730,옥천군,215,222,185,214,221
43740,영동군,238,236,224,218,45
43745,증평군,210,221,231,239,108
43750,진천군,161,154,174,194,79
43760,괴산군,230,203,196,198,164
43770,음성군,146,161,155,155,64
43800,단양군,194,118,207,181,192
44150,공주시,147,92,122,115,213
44180,보령시,155,78,154,53,41
44200,아산시,93,43,89,73,32
44210,서산시,144,100,149,105,26
44230,논산시,175,156,163,164,100
44250,계룡시,219,234,237,241,78
44270,당진시,135,84,142,116,65
44710,금산군,211,219,187,210,171
44760,부여군,164,158,183,176,99
44770,서천군,216,172,194,190,163
44790,청양군,248,241,240,232,66
44800,홍성군,178,182,177,177,72
44810,예산군,181,133,165,154,137
44825,태안군,162,48,153,31,42
47130,경주시,56,10,58,7,97
48250,김해시,60,53,63,48,70
51150,강릉시,61,7,86,6,16
