0,cleaned_review,sentiment
감은사지삼층석탑,돌이 뭔가 말 하는거 같다랬던 기 막힌 감상 평이 다 그나저나 저 나무 는 있던거야,부정적
감은사지삼층석탑,신문왕 기운 느껴진다 내 통일신라 왕 불국사 탑 느껴지는 경덕왕 시절 예술 적 극치 분황사 전탑 느끼는 아직 작던 시절 신라 와는 고구려 같은 신라 느낌,긍정적
감은사지삼층석탑,고양이 있어요 최고,긍정적
감은사지삼층석탑,조용하고 한적하니 천천히 둘려 보기 진짜 좋음 특히 일몰 멋진 곳임,긍정적
감은사지삼층석탑,신라시대 신문왕 조성 문무대왕 수중 릉 이견 대,긍정적
감은사지삼층석탑,경주 올 마다 항상 들르는 곳 터 명당 이고 뒷 편 대나무 숲 도 좋고요,긍정적
감은사지삼층석탑,탑 은 장대 하게 느껴집니다만 왠지 홀로 고 군 분 투하 는 모습 처럼 생각 되어 서러워지네요 서 보고싶은 곳,부정적
감은사지삼층석탑,한국사 책 사진 만 봤었는데 실물 보니 웅장 하더라고요 사람 없어서 사진 찍기 좋기 고요,긍정적
감은사지삼층석탑,신라 역사 삼국통일 이후 이야기 해주기 좋아요,긍정적
감은사지삼층석탑,생각 보다 거대한 규모 입 떡,부정적
감은사지삼층석탑,망한 절터 탑 복원 해 이정 도 관람 케 하는것 만해 도 다행 이라 생각 한다,긍정적
감은사지삼층석탑,멀리 서 바라보는 가까이 보는 확 연히 차이 납니다 웅장 함 느낄 수,부정적
감은사지삼층석탑,겁나 큼,부정적
감은사지삼층석탑,너무 멋있어요 저녁 가면 좀 무서울지도,긍정적
감은사지삼층석탑,기도 그럭저럭,부정적
감은사지삼층석탑,국보 낙서 하지 맙시 다,부정적
감은사지삼층석탑,호랑이 쌍불 쌍탑 있는 곳 신문왕 동해 용이 된 아버지 문무왕 은혜 감사하고 왜구 상륙 조기 발견 하기 위 한 군사 적 목적 호국 사찰,긍정적
감은사지삼층석탑,웅장 하다 감사하다 감 은혜 은감 은사,긍정적
