0,review
감은사지삼층석탑,"‘돌이 뭔가 말을 하는거 같다’랬던가, 기가 막힌 감상평이다. 그나저나 저 나무는 언제부터 있던거야..."
감은사지삼층석탑,"신문왕의 기운이 느껴진다. 그래, 내가 통일신라의 왕이다. 불국사 탑들에서 느껴지는 경덕왕 시절의 예술적 극치, 분황사 전탑에서 느끼는 아직 작던 시절의 신라와는 다른, 고구려 같은 신라 느낌이다"
감은사지삼층석탑,고양이 있어요 최고
감은사지삼층석탑,조용하고 한적하니 천천히 둘려보기 진짜 좋음특히 일몰이 멋진곳임
감은사지삼층석탑,"신라시대 신문왕때 조성, 문무대왕  수중릉, 이견대."
감은사지삼층석탑,"경주에 올 때마다 항상 들르는 곳입니다.터가 명당이고, 뒷편으로 대나무 숲도 좋고요."
감은사지삼층석탑,탑은 장대하게 느껴집니다만 왠지 홀로 고군분투하는모습처럼 생각되어 서러워지네요. 그래도또와서  보고싶은곳 입니다.
감은사지삼층석탑,한국사 책에서 사진만봤었는데 실물보니 웅장하더라고요또 사람들 없어서 사진찍기좋기고요~
감은사지삼층석탑,아이들에게 신라역사 삼국통일 이후 이야기 해주기좋아요
감은사지삼층석탑,생각보다 거대한 규모에 입이 떡
감은사지삼층석탑,망한 절터와 탑을 복원해 이정도 관람케 하는것만해도다행이라 생각한다
감은사지삼층석탑,멀리서 바라보는 것과 가까이에서 보는 것이 확연히 차이 납니다. 웅장함을 느낄 수 있습니다.
감은사지삼층석탑,겁나 큼
감은사지삼층석탑,너무 멋있어요! 그런데 저녁에 가면 좀 무서울지도
감은사지삼층석탑,⭐️⭐️…여기도…그럭저럭…
감은사지삼층석탑,국보에 낙서하지 맙시다
감은사지삼층석탑,"호랑이의 쌍불 쌍탑이 있는 곳.신문왕이 동해의 용이 된  아버지 문무왕의 은혜에 감사하고, 왜구의 상륙을 조기 발견하기 위한 군사적 목적의 호국사찰."
감은사지삼층석탑,웅장하다 감사하다 감은혜 은감은사…
감은사지삼층석탑,"탑과 남겨진 절터에서 신라 천년의 역사, 신문왕의 효성이 전해졌네요."
감은사지삼층석탑,비록 터만 남아있지만 최대한 복원하려 했다는 것이 느껴집니다.주상절리 갔다가 돌아오는 길에 가볍게 들려보시길 추천드립니다.
감은사지삼층석탑,경주여행하면서 문무대왕암. 감은사지5층석탑등 가까이 있어 한번에 둘러보기 딱 좋아여. 날씨도 좋아서 더 좋았네여
감은사지삼층석탑,꼭 가세요
감은사지삼층석탑,석굴암 가는길에 코스로 넣었는데 두삼층석탑이 너무 웅장하고 아름답게 보존되고 있다는게 감격!한바퀴도는데두 시간도 별루 안걸리고 관람객도 많지않아 딱좋네요!
감은사지삼층석탑,"사람이 거의 없어서 좋고, 여길 목적지로 찍고 들르는것보다 가는길에 들르는걸 추천해요!날씨맑은날 노을보는게 예쁘다고합니다!"
감은사지삼층석탑,외떨어진 곳에 있지만 기나긴 시간의 흐름을 느껴볼 수 있는 장소였습니다.  경주 방문하실 때 추천드릴 곳 입니다.
감은사지삼층석탑,국가문화유산(☆국보☆)국가유산청 국가유산포털(www.heritage.go.kr)
감은사지삼층석탑,✌ 몽고의 침입으로 감은사는 소실되고 지금은 절터만 남아있다.ℹ 국보 제 112호 감은사지 3층 석탑.
