0,cleaned_review,sentiment
가섭산,가섭 바라본 조 망 훌륭,긍정적
건지마을 풍경포인트,고백 맛집,긍정적
건지마을 풍경포인트,충주댐 들렸다가 내 비보 고 간곳 아니라 문듯 산 바라보다가 예쁘다하고 올라가 보니 풍경 포인트 해질녘 가보면 예쁠것 같습니다 다시 들려서 사진 올리겠습니다,긍정적
계명산,충북 충주 계명산 명산  계명산 자연휴양림 최단 코스 블랙 야크  등산 일자  목 맑음 오후 시 산행 시작 네비게이션 계명산 자연휴양림 주차장 티맵 기준 주차 무료 주차 주차장 근처 화장실 있음 관리 됨 들머리 주 차후 자연휴양림 위쪽 치유 센터 으 올라가면 나무 계단 시작 등산 왕복 약 시간 분 개인 적 인 쉬는 다름 등산 난이도 정상 석 부근 정상 석 크기 작음 주변 공간 넓지 않으며 나무 둘러쌓여 조 망 없음 특이점 등산 시작 하고 계속 적 올라가는 코스 이며 중간 에는 오르락 내리락 하다가 원 형산 행 범 동 하종 방면 충주호 바라보는 조 망 좋음 범 동 하종 방면 가는 등산로 임도 공사 인하여 중간 턱 높은 지대 길이 끊겨 당황 할 수 있는데 조심 히 옆 내려가거나 올라갈 수 있음 돈독하게 블랙 야크 블랙 야크 알파 인 클럽 블랙 야크  대 명산 최단 코스 명산  계명산 충주 산행 충주 충주 가볼만 한 곳 충주 여행 충주호 충주 종댕 이길,긍정적
계명산,초딩,부정적
계명산,산 자체 는 좋은데 개념 없이 낮 피칭하 는 쓰레기 많아서 백 패 커 들이 쫓겨나게 스스로 자초 하는 인간 많네,부정적
계명산자연휴양림,숙소 도 깨끗하고 경치 도 최고,긍정적
계명산자연휴양림,얌,긍정적
계명산자연휴양림,방과 거실 넓고 깨끗 주변 충주호 있어 산책 하기 좋음,긍정적
계명산자연휴양림,계명산 자연 휴양림 뷰 정말 좋아요,긍정적
계명산자연휴양림,자연휴양림 은 곳 가도 만족도 높네요 충주호 물이 말라 풍 성한 경치 누릴수는 없었지만 호수 보이는 휴양림 이라니 낭만 적 입 니까 낮 에도 그늘 있으면 산바람 불어와 그리 덥지 않고 밤 공기 는 차갑게 느껴졌습니다 올해 같은 여름날 씨 호사 누린 기분 에어컨 안 켜고 밤 보냈으니까 요 밤하늘 별도 달도 잘 보이고,긍정적
계명산자연휴양림,산책로 치유 숲길 는 괜찮은 수준 숙소 는 신축 이고 호수 경치 좋음 숲 속 숙소 특성 상 치명 적 인 문제 있는데 저녁 창문 문 잠깐 이라도 열면 나방 곤충 여러 마리 들어와서 실내 계속 날아다닌다는 점 주방 창문 방충 망 안 보이던데 환기 위해 열어놨다가 낭패 보는 사람 많을 듯 테라스 쪽 에는 방충 망 있긴 하지만 오갈 벌레 들어올 수 있으니까 최대한 빨리 닫길 추천 문 열기 분 전 일단 실내 조명 꺼놓는 게 좋을 듯,긍정적
계명산자연휴양림,최고 예요 특히 심항 산 길 종뎅 이길 그림 처럼 멋집니다,긍정적
낙천탕,정겨운 분위기 동네 목욕탕 같지만 수안보 유명 호텔 온천 보다 훨씬 좋았어요,긍정적
낙천탕,오랜 온천 욕 러버 은 아는 곳,부정적
낙천탕,끝날 쯤 가서 런가 사람 도 없고 물 도 깨끗하고 좋았습니다,긍정적
낙천탕,후기 보고 갔는데 엉망 임 사람 많은건 이해 하겠는데 온 탕 열탕 수준 이라 사람 전부 발 만 담구고 있고 냉탕 은 물질 떠 있고 분 도 안되서 나옴 돈 아까워 죽겠음,부정적
낙천탕,물 좋다는 후기 보고 갔는데 물 진짜  좋아요 피부 뽀독뽀독 깐 달걀 돼요 악 건성 아토피 피부 인데 도 자극 없이 잘 이용 했어요 재 방문 의사  ,긍정적
낙천탕,물 좋아요  양치질 하면서 마시 보기 도 했음,긍정적
낙천탕,늘 언제나 이용 하는 곳 이에요 항상 감사합니다,긍정적
낙천탕,두 걸려 왔는데 정도 걸려 올 만 한 곳 은 아닌 같아요 온 탕 열탕 냉탕 세 개 있는데 온 탕 도 너무 뜨거워서 들어가기 힘들고 물이 뿜어져 나오지 않아 물이 순환 되는 구조 아니예요 물 도 좋은 도 잘 모르겠고요 탕 도 조그맣고 미는 공간 도 좁은데 사람 만 바글바글 해서 도 떼기 시장 같아요 재 방문 의사 없습니다,부정적
능암온천,가족 탕 미끄럽고 어둡고 춥고 날카로워서 다칠 위험 높음 딸아이 넘어져서 눈 두 덩이 찢어졌는데 인근 병원 없어서 분당 차병원 감 중요한건 보험 없어서 고객 다쳐도 책임 없다 몰라 함,부정적
능암온천,만족함,부정적
능암온천,밑 지 들이 다쳐놓고 온천 한테 머 라합 니까 교육 못 받은 사람 가정교육 하고있으니 부모 짝 크겠네,부정적
능암온천,가족 탕 이용 했는데 프라이 빗하게 이용 할 수 있는 장점 은 확실하게 있지만 바닥 도 미 끌 하고 생각 보디 탕 도 노후 화 되어있어서 그냥 그랬음 전반 적 좀 노화 된 분위기 온천 드라이기 도 돈 내고 써야하고 하지만 응대 은 아래 달리 친절하셨음 하지만 요즘 사우나 들이 깔끔하고 시설 좋은데 들이 넘 많아서 추천 하 지는 않습니다,부정적
능암온천,온 천 물 탄산 가득해서 몸 좋아지는 기분,긍정적
능암온천,피로 풀기 엔 너무 좋았어요,긍정적
능암온천,탄산 온천 맞는데 거기 그런 오래된 시골 목욕탕 수준 서울 서 일부러 내서 갈 곳 은 아니라 눈 생각 입니 다욕 탕 내 부가 춥고 사우나 도  도 정도 실망 스럽습니다 찜질방 도 없어요,부정적
능암온천,여행 마무리 하고 돌아오는 길 들렸는데 피로 쫙 풀리네요 날 피부 맨 맨 한 게 피부 좋은 같아요,부정적
능암온천,노후 화 된 탈의실 바닥 빼면 완벽하네요 온천 땀 빼고 옆 식당 국밥 하나 말아먹고 가면,긍정적
능암온천,카운터 직원 본인 잘못 알 들어놓고 다 고객 책임 떠 넘겨 버리네요 그래놓고 그거 항의 하 니까 요구사항 해결 되어 문제 없으니 됐지 않냐는 식 저 진상 취급 하며 위압 적 인 어투 그냥 가랍니다 건 면 한 대 칠 수도 있다는 수준 위협 느꼈구요 저 는 목욕 도 못 하고 환불 해달라는 말 도 할 엄두 도 못내 고 나왔습니다 목욕 값 원 미련 없습니다 수원 살면서 탄산 온천 좋고 시설 도 괜찮아 차 몰고도 오고 부발역  갈아타면서도 오면서 회 꾸준히 왔었는데 앞 올 일 없을것 같습니다,부정적
능암온천,탄산 천 은 맞음 가족 탕 상태 관리 는 별로 임 탕 물 받으니 뜸,부정적
능암온천,시설 넓 직 넓 직한게 좋습니다 일반 적 인 사우나 비해 온도 좀 낮은 편이 라 사우나 뜨거워서 못 들어가시는 분 한텐 아주 좋아요 특이한 탄산 탕 도 있고 탕 온도 전체 적 적당합니다다만 목욕탕 전체 적 인 공기 온도 살짝 낮고 시설 노후 화 되어 있긴 합니다 가격 은 성인 만원,긍정적
능암온천,항상 만족하며 다니고 여름 특히 좋아요 사우나 모래시계 좀 제대로 된게 있음 좋겠어요 ,긍정적
능암온천,좋아요 아주 좋아요 강추 감사합니다,긍정적
능암온천,탄산 보글보글 하니 피부 좋아지는 느낌,긍정적
능암온천,앞 분도 카운터 잘 못 된 걸 손님 떠 넘겼다는 리뷰 있는데 저희 도 가족 탕 중복 예약 모든 일정 꼬였네요 인터넷 예매 해도 확답 없어 전화통화 했는데 여직원 분과 통화 예약 했음에도 불구 하고 예약 이미 중복 되어있었습니다 대응 하시는 남 직원 반응 은  인터넷 은 확인 잘 안 한다 확인 연락 안 주면 예약 안 된 거 다 인터넷 에도 그렇게 적어놓았다 제 전화 더블 체킹 예약 한 겠죠  정말 쪽 통화 한 맞냐 전화번호 함께 전화한 보여 드렸습니다 자기 는 된 인지 모르겠다 모로 쇠 였는데 숙소 도 온천 때문 근처 잡았는데 낭비 돈 낭비 여행 기분 다 망쳤어요 대응 너무 아쉽습니다 요즘 에도 이렇게 영업 하는 데 있다니 외국인 본다면 국가 망신 이고 타 지인 오면 지역 망신 일 같네요,부정적
능암온천,탄산 온천 으로는 끝내 줌 청소 상태 는 불량,부정적
대미산 악어봉,풍경 짱 예쁨 보이는 그대로 악어 악어 함 근데 오르막 꽤 가파른 구간 있고 힘듦   밖에 안되긴 하니 화이팅,긍정적
대미산 악어봉,너무 예뻐요 사진 만 보고 왔는데 생각 보다 등산 하는 기분 올라가야하네요 초입 계단 해놨는데 계단 가기 전 잠깐 길이 가파르 고 미끄러워요 조심해야 합니다 하지만 악어 봉 정상 은 너무 너무 좋았어요 주차 화장실 은 게으른 악어 카페 다 해결 하시면 되겠네요 주차 후 길 건널 조심해야 합니다,긍정적
대미산 악어봉,등산로 관리 해주며 정식 개방 하면 좋은 경관 인데 금지 하는 이유 는 궁금하네요 주차 는 게으른 악어 주차장,부정적
대미산 악어봉,그냥 상쾌한 곳 자꾸 가보고 싶은 곳 넘 좋습니다,긍정적
대미산 악어봉,충주 오시 면 꼭 가봐 야할 곳  순위 가는 길이 편하진 않음,부정적
대미산 악어봉,등산로 없어서 미끄럽고 뒤지게 힘듬 중간 포기,부정적
대미산 악어봉,일 게으른 악어 휴게소 주 차후 길 건너서 아직 비 탐 월 오픈 계단 도 새로이,긍정적
대미산 악어봉,악 악 악,부정적
대미산 악어봉,경치 너무나 훌륭한 곳 이지만 월 현재 탐방 공사 끝나지 않아 공식 적 으론 출입 불가 지역  많은 사람 무시 하고 그냥 올라감 분 정도를 쉬 지 않고 올라가야 할 정도 힘든 곳 이지만 정상 보는 뷰 모든 걸 잊게해 줌 악어 물위 떠 있는 형상 도 재밌지만 충주호 월악산 주변 풍 광 어우러져 추천 할 만 한 곳 데크 계단 없는 곳 은 비 좁고 땅 매우 험해서 힘들 기도 하고 특히 하산시 좀 위험함 등산 화 스틱 은 필수 고 은 가급적 데려가지 않는 좋음 주차 는 카페 게으른 악어 무료 가능,긍정적
대미산 악어봉, 출입 금지 요,부정적
대미산 악어봉,음 좋으네요,긍정적
대미산 악어봉,게으른 악어 카페 주변 주차 하고 분 정도 오르면 멋진 인생샷 찍을수 있는 장소 나와요 우리나라 맞아 할 정도 경치 좋아요 도 도전,긍정적
대미산 악어봉,월 일 부로 등산로 개방 됐습니다 근처 카페 게으른 악어 앞 무료 주차 할 수 있어요 정상 약   지만 경사 심해서 좀 힘듭니다,긍정적
목계나루터,화장실 은 없습니다,긍정적
목계나루터,유채 보려 했으나 축제 는 끝나고  비는 오고,부정적
문성자연휴양림,야간 오토 캠핑장 고성 방가 술 판이 벌어져 잠 못자네요 문 성 자연휴양림 관련 모든 전화번호 는 다 연결 도 안되고 야간 긴급 상황 이라도 생기 면 어떻 하라 는 건지 아무 대책 없어 보이네요,부정적
문성자연휴양림,충주  가까워서 교통 편리합니다 자가용 산이 세 개 둘러 쌓여있어서 편안한 느낌 입니다오 토 캠핑장 야영장 짚라인  라인 두루 갖춰서 가족 휴양 넘으로 적합합니다,긍정적
문성자연휴양림,물놀이 장이 있어 여름 아주 좋습니다 물 도 깨끗하게 잘 관리 되고 있네요  참 욕실 비누 샴푸 바디 워시 없어요 준비 해 오셔요,긍정적
봉황자연휴양림,관리 너무 안되는 휴양림 이네 요 실내 벌레 죽은것 들이 있고 냉장고 는 칸 분리 대가 하나 도 없네요 ,부정적
비내섬,나라 냐,부정적
비내섬,사진촬영 하기 좋은 장소 요 사랑 불시 착 외 여러 영화 드라마 촬영 장소,부정적
비내섬,폐쇄 조 치하였음,부정적
비내섬,비 내 섬 근처 서 유숙 로라 정원 추천 합니당,긍정적
비내섬,넘 넓음 다 걷는데 시간 걸릴듯 반도 못 걸음 억새 중간 엔 갈대 도 잇음 자갈밭 도 잇어서 운동화 추천 진흙 도 잇음 조심 무료 주차 무료 입장 무료 운동장 화장실 은 입구 하나 섬안에  개 잇으나음 급한거 최대한 참으시길 푸세 식은 아님,부정적
비내섬,걷기 좋았음,긍정적
비내섬,자전거 휴게 지점,긍정적
비내섬,벌레 짐,부정적
비내섬,다 좋은데 돌맹이길 이라 편한 운동화 신어야하고 물가라 런가 벌레 준내 많음 사진 으로도 벌레 보임 특히 모기,부정적
