0,review
가섭산,가섭사에서 바라본 조망이 훌륭
건지마을 풍경포인트,고백맛집
건지마을 풍경포인트,충주댐에 들렸다가 내비보고 간곳이 아니라 문듯 산을 바라보다가 예쁘다하고 올라가보니 풍경포인트입니다. 해질녘 가보면 예쁠것같습니다. 다시 들려서 사진 올리겠습니다
계명산,"⛰️충북 충주 계명산(명산100+) 계명산자연휴양림 최단코스 블랙야크BAC🗓등산일자: 20240801(목), 맑음, 오후3시 산행시작🚘네비게이션: 계명산자연휴양림 주차장 (티맵 기준)🅿️주차: 무료주차 (주차장 근처 화장실 있음(관리됨)📌들머리: 주차후, 자연휴양림 위쪽(치유센터)으로 올라가면, 나무계단시작⏱️등산시간: 왕복 약3시간30분 (개인적인 쉬는 시간에 따라 다름)📍등산난이도: ★★★☆☆🪨 정상석 부근: 정상석 크기 작음, 주변 공간 넓지 않으며, 나무에 둘러쌓여 조망없음🔍특이점: 등산시작하고, 계속적으로 올라가는 코스이며, 중간에는 약간 오르락 내리락 하다가, 원형산행으로, 범동, 하종 방면 충주호를 바라보는 조망좋음(범동, 하종 방면으로 가는 등산로가 임도 공사로 인하여, 중간에 턱이 높은 지대에서 길이 끊겨 당황할 수 있는데, 조심히 옆으로 내려가거나 올라갈 수 있음#돈독하게 #블랙야크 #블랙야크알파인클럽 #블랙야크100대명산 #최단코스 #명산100+ #계명산 #충주산행 #충주 #충주가볼만한곳 #충주여행 #충주호 #충주종댕이길"
계명산,초딩때
계명산,산 자체는 좋은데 개념없이 낮에 피칭하는 쓰레기들이 많아서 ... 백패커들이 쫓겨나게 스스로 자초하는 인간들이 많네
계명산자연휴양림,숙소도 깨끗하고 경치도 최고입니다
계명산자연휴양림,얌
계명산자연휴양림,"방과 거실이 넓고 깨끗, 주변에 충주호가 있어 산책하기 좋음"
계명산자연휴양림,계명산 자연 휴양림 뷰 정말 좋아요
계명산자연휴양림,자연휴양림은 어느곳을 가도 만족도가 높네요충주호에 물이 말라 풍성한 경치를 누릴수는 없었지만 호수가 보이는 휴양림이라니 얼마나 낭만적입니까 ^^낮에도 그늘에 있으면 산바람이 불어와 그리 덥지 않고 밤공기는 차갑게 느껴졌습니다올해같은 여름날씨에 호사를 누린 기분입니다에어컨 안켜고 밤을 보냈으니까요밤하늘에 별도 달도 잘보이고~
계명산자연휴양림,"산책로(치유의 숲길)는 괜찮은 수준. 숙소는 신축이고 호수 경치 좋음.■다만 숲 속 숙소 특성상 치명적인 문제가 있는데 저녁에 창문/문을 잠깐이라도 열면 나방 등 곤충이 여러 마리 들어와서 실내에서 계속 날아다닌다는 점. 주방 창문에 방충망이 안 보이던데 환기 위해 열어놨다가 낭패 보는 사람 많을 듯. 테라스 쪽에는 방충망이 있긴 하지만, 오갈 때 벌레 들어올 수 있으니까 최대한 빨리 여닫길 추천 (문 열기 몇 분 전에 일단 실내 조명을 꺼놓는 게 좋을 듯)."
계명산자연휴양림,최고예요.  특히 심항산 길과 종뎅이길 그림처럼 멋집니다
낙천탕,정겨운 분위기의 동네 목욕탕같지만 수안보 유명 호텔 온천보다 훨씬  좋았어요
낙천탕,오랜 온천욕 러버들은 아는 곳!!
낙천탕,거의 끝날때쯤 가서 그런가 사람도 없고 물도 깨끗하고 좋았습니다.
낙천탕,후기보고 갔는데 엉망임사람 많은건 이해하겠는데 온탕이 무슨 열탕수준이라 사람들 전부 발만 담구고 있고 냉탕은 이물질 둥둥 떠 있고 20분도 안되서 나옴 돈 아까워 죽겠음
